date,direction,entry_price,exit_price,pnl_pts,pnl_pct,win,rsi_divergence,extreme_time_hour,tail_retracement,volume_decay
2025-09-23,short,26106.0,26239.0,-133.0,-0.5094614264919942,False,False,26.28333333333333,0.11464968152866242,0.7050082064491263
2025-12-15,long,27862.0,27912.0,50.0,0.17945588974230134,True,True,28.633333333333333,0.027287319422150885,1.0670356095165199
2025-12-16,long,27661.0,27615.0,-46.0,-0.16629912150681464,False,True,28.95,0.02203856749311295,0.6879853037623749
2026-01-13,short,31007.0,30856.0,151.0,0.4869868094301287,True,False,27.3,0.07912087912087912,0.5576218713166164
2026-01-16,short,31333.0,31487.0,-154.0,-0.49149459036798265,False,True,25.1,0.49056603773584906,0.4705032976589245
2026-02-06,long,31400.0,31736.0,336.0,1.070063694267516,True,True,22.533333333333335,0.4859154929577465,0.7231045413456951
2026-02-23,short,34096.0,33867.0,229.0,0.6716330361332709,True,,,,
2026-03-09,long,31819.0,31992.0,173.0,0.5437003048493039,True,True,28.633333333333333,0.137904468412943,1.7234196847265002
2026-03-23,long,32589.0,32567.0,-22.0,-0.06750744116112799,False,True,27.616666666666667,0.15661641541038526,0.5494785010556978
2026-03-27,long,32831.0,33173.0,342.0,1.0416983948097833,True,True,27.983333333333334,0.19230769230769232,0.6918908614428977
2026-03-30,long,32317.0,32536.0,219.0,0.6776619116873472,True,True,28.983333333333334,0.0,0.4133934831787694
