tier,dir,N,m,P_A,ER_A,P_Best,ER_Best,P_Bsat,ER_Bsat
strong GO,up,314,0.95,0.08917197452229299,0.08471337579617835,0.15605095541401273,0.1524603826950506,0.2643312101910828,0.21561715019891262
strong GO,up,314,1.0,0.0732484076433121,0.0732484076433121,0.1178343949044586,0.12250558597727683,0.21656050955414013,0.18371707053920777
strong GO,up,314,1.05,0.06050955414012739,0.06353503184713376,0.08917197452229299,0.09545000416684296,0.1910828025477707,0.17148733878511932
strong GO,up,314,1.1,0.04777070063694268,0.052547770700636945,0.07006369426751592,0.07802206286517002,0.15286624203821655,0.14466125178702763
strong GO,up,314,1.15,0.044585987261146494,0.051273885350318474,0.05732484076433121,0.06434233236783593,0.11146496815286625,0.1066286865622133
strong GO,up,314,1.2,0.03503184713375796,0.04203821656050955,0.041401273885350316,0.044481371324289115,0.08917197452229299,0.08682727655210344
strong GO,up,314,1.25,0.025477707006369428,0.03184713375796178,0.03503184713375796,0.0383081443634999,0.07006369426751592,0.06819975777609048
strong GO,up,314,1.3,0.025477707006369428,0.03312101910828026,0.03184713375796178,0.03602066478466745,0.04777070063694268,0.0427116366832384
strong GO,up,314,1.35,0.022292993630573247,0.03009554140127389,0.022292993630573247,0.022721316306425036,0.044585987261146494,0.039982577834244075
strong GO,up,314,1.4,0.022292993630573247,0.031210191082802544,0.022292993630573247,0.02356284653999633,0.03821656050955414,0.03210173527207497
strong GO,up,314,1.45,0.022292993630573247,0.0323248407643312,0.022292993630573247,0.024404376773567632,0.03184713375796178,0.024827944209155003
strong GO,up,314,1.5,0.022292993630573247,0.03343949044585987,0.022292993630573247,0.025245907007138926,0.028662420382165606,0.02223405291499479
strong GO,dn,314,0.1,0.8726114649681529,0.08726114649681528,0.9936305732484076,0.10945596182767754,1.0,-0.015505974941947338
strong GO,dn,314,0.15,0.7770700636942676,0.11656050955414013,0.9936305732484076,0.16418394274151632,1.0,0.039241037587078975
strong GO,dn,314,0.2,0.7070063694267515,0.14140127388535031,0.9904458598726115,0.21817219036313137,1.0,0.09398805011610532
