d,lvl,tk,ema20,swing_at_tk,up_full,satcons,cont,W5_level,W5_slope,W5_ddpeak,W5_frozen,W10_level,W10_slope,W10_ddpeak,W10_frozen,is_seg,tk_min
2026-01-16,L4,12:14:00,334.51974499433175,327.0,379.0,0.9775207738650549,0.0,0.3961312755306494,0.0855402817219359,0.0,-0.3269024003551979,0.4081196356954902,0.07571115000957213,0.0,-0.28947488634429824,IS,734
2026-01-19,L3,09:28:00,338.75595975677635,245.0,566.0,0.7232345083342822,1.0,0.24384041007525392,-0.008128281991684971,0.008128281991684971,-0.0001895986855146773,0.10089478377691338,0.0023513140760939716,0.007003107569501371,-0.09071027096041485,IS,568
2026-01-19,L4,10:44:00,338.75595975677635,348.0,566.0,1.0272881995931844,1.0,0.16999715399052204,0.07653754208706132,0.14532400157515038,-0.0001895986855146773,0.12848754839338963,0.07460513743559416,0.030346925416096376,-0.09071027096041485,IS,644
2026-01-19,L5,12:21:00,338.75595975677635,418.0,566.0,1.2339266305458365,,0.44438092639026877,0.04365953828401414,0.0,-0.0001895986855146773,0.3028819561537582,0.040387933881254556,0.0,-0.09071027096041485,IS,741
2026-01-20,L3,10:11:00,360.39824930375005,268.0,414.0,0.7436218142506148,1.0,0.30917641073013397,0.008688737265872104,0.09344825601450035,0.21916715644195192,0.37928809930097335,0.008099666965597496,0.06767136485415826,0.2700146426829608,IS,611
2026-01-20,L4,10:35:00,360.39824930375005,366.0,414.0,1.0155432239392725,0.0,0.480629040547872,0.00943673479904239,0.00820785917445821,0.21916715644195192,0.4932125302245606,-0.011366716291682843,0.023616556789201493,0.2700146426829608,IS,635
2026-01-21,L3,09:30:00,365.50317794148816,263.0,365.0,0.7195559871222311,1.0,-0.003364612000017296,0.023981012039523308,0.15496219296880973,0.011485926776225557,0.0879022091726019,0.016091038234152977,0.12644413325924186,0.11967641416119225,IS,570
2026-01-21,L4,09:45:00,365.50317794148816,362.0,365.0,0.9904154651644398,0.0,0.1839319499350582,0.04124464303284653,0.040737044744463824,0.011485926776225557,0.26214467539644215,0.03293171906386402,0.0404381076742773,0.11967641416119225,IS,585
2026-01-23,L3,11:16:00,361.91529985686446,258.0,293.0,0.7128739793593628,0.0,-0.018113822343432447,0.09070242948146891,0.0,-0.36427710769191635,-0.009474908755141937,0.05762455980079112,0.0,-0.19438872714263108,IS,676
2026-01-27,L3,10:07:00,335.318420064236,239.0,326.0,0.7127553563988982,0.0,0.2602712728305398,-0.11526503966163515,0.11526503966163515,-0.10635180575049047,0.24307416507844945,-0.06948158624126746,0.06948158624126746,-0.040143487504259216,IS,607
2026-01-28,L3,13:22:00,334.43095148668976,250.0,270.0,0.7475384646326609,0.0,0.5160946256317387,0.036895901582774615,0.0,0.3391097755864939,0.3758947177333446,0.03394015652982024,0.0,0.28158008347359137,IS,802
2026-01-29,L3,09:39:00,328.2946703927193,252.0,252.0,0.7676030795703978,0.0,-0.22596435271874865,0.05702412344681701,0.3244480695321613,0.09848371681341266,-0.271042432284666,0.039500397864020265,0.28529882452327365,0.014256392238607645,IS,579
2026-01-30,L3,10:56:00,337.6951779743651,256.0,320.0,0.7580801169137017,0.0,0.07060932291889209,0.21667112722892595,0.00897397427138065,0.07958329719027274,0.09716919437405432,0.15659448131899192,0.024547054582490832,0.12171624895654515,IS,656
2026-02-02,L3,12:42:00,346.86706578633033,254.0,287.0,0.732269001740464,0.0,-0.10219758268485368,0.0867262623382842,0.07511575353172296,-0.11250586426723125,-0.2259758321539177,0.07032154811583513,0.21291589630789629,-0.13288320418990682,IS,762
2026-02-03,L3,13:22:00,368.3082976162036,264.0,296.0,0.7167908019142749,0.0,-0.32886522417528025,-0.09723324272749481,0.15141317380188127,-0.17918828052740324,-0.34664698273762007,-0.05469870040401992,0.22135786833429666,-0.12543052929122886,IS,802
2026-02-04,L3,09:31:00,375.326554986089,280.0,441.0,0.7460170251219711,1.0,0.0986786251046061,0.10456177337068573,0.0,-0.002147699785397948,0.1663036623569642,0.06821494015947452,0.0,0.06085788546920675,IS,571
2026-02-04,L4,10:01:00,375.326554986089,380.0,441.0,1.0124516769512464,0.0,0.2943142732754567,0.24276997291948102,0.0,-0.002147699785397948,0.31553542314237526,0.18164824701275173,0.0,0.06085788546920675,IS,601
2026-02-06,L3,09:52:00,380.28772414961026,303.0,663.0,0.7967651353394615,1.0,0.09265811464672978,0.22490345397316258,0.0,-0.10261960739976855,0.02777928107036934,0.19107416579237216,0.0,-0.1407180791132375,IS,592
2026-02-06,L4,09:59:00,380.28772414961026,377.0,663.0,0.991354640339858,1.0,0.09547771921445433,-0.010415482607713161,0.010415482607713161,-0.10261960739976855,0.05792897438405177,0.018350184958864715,0.0,-0.1407180791132375,IS,599
2026-02-06,L5,10:01:00,380.28772414961026,466.0,663.0,1.225387963921416,,0.2078533592380732,0.11478777212463338,0.0,-0.10261960739976855,0.14821590847732874,0.11700768654408772,0.0,-0.1407180791132375,IS,601
2026-02-10,L3,12:06:00,399.00196920183515,287.0,430.0,0.7192946956480334,1.0,0.29909458145893736,0.025584297549974044,0.07925100588879774,0.3756516275104632,0.16950223493108707,0.029325095038316512,0.10208403020598522,0.2715862651370723,IS,726
2026-02-10,L4,13:35:00,399.00196920183515,396.0,430.0,0.9924763047965895,0.0,0.37855927719228155,0.0,0.0,0.3756516275104632,0.19475008466793078,0.0,0.07683618046914151,0.2715862651370723,IS,815
