d,ema20,tk,p_entry,hold_pnl_pts,hold_pnl_pct,rem_min,W10_ddpeak,is_seg,early,ext_ok,take_A,take_B
2026-04-14,586.5338649420626,12:20:00,36402.0,-21.0,-0.057689137959452776,85,0.0767802042160197,OOS,False,False,False,False
2026-04-15,572.5782587571042,09:49:00,37333.0,-152.30581682938646,-0.4079656519148916,236,0.0,OOS,True,True,True,True
2026-04-16,560.9041388754753,12:22:00,37466.0,-149.20050094087492,-0.3982290635265972,83,0.0182628998040933,OOS,False,True,False,True
2026-04-20,542.9396692382008,09:54:00,37679.0,-144.42195201736467,-0.3832956076789848,231,0.0121132161978211,OOS,True,True,True,True
2026-04-21,538.3739864536103,10:18:00,38026.0,22.0,0.05785515173828434,207,0.0444396962736257,OOS,True,False,True,True
2026-04-22,535.8621782199332,10:21:00,38320.0,-142.53933940650313,-0.37197113623826494,204,0.0769041124761169,OOS,True,False,True,True
2026-04-23,527.1133993418443,09:09:00,38932.0,140.21216422493308,0.3601463172324388,276,,OOS,True,False,True,True
2026-04-24,636.8168851188116,09:27:00,38736.0,169.3932914416073,0.4373019708839511,258,0.0,OOS,True,True,True,True
2026-04-27,669.12003891702,09:20:00,40402.0,-177.98593035192607,-0.4405374247609674,265,0.0,OOS,True,True,True,True
2026-04-28,664.53717806778,09:33:00,40264.0,-176.76688936603023,-0.43901969343838226,252,0.0853456822186692,OOS,True,False,True,True
2026-04-29,666.581256347039,11:45:00,39587.0,-177.31061418831086,-0.44790111447776004,120,0.0526764451605132,OOS,False,False,False,False
2026-05-04,667.1334093906601,09:55:00,40625.0,177.457486897918,0.43681842928718273,230,0.0603785347814919,OOS,True,False,True,True
2026-05-06,652.7418612018781,13:15:00,41510.0,-7.0,-0.016863406408094434,30,0.4065669845292972,OOS,False,False,False,False
2026-05-08,661.7501403489298,11:31:00,42022.0,-176.0255373328182,-0.41888900417119174,134,0.2888752908200857,OOS,False,False,False,False
2026-05-12,654.4122464080808,10:53:00,42065.0,174.07365754454804,0.4138206526674148,172,0.1052223668070843,OOS,False,False,False,False
2026-05-13,664.0872705596922,09:49:00,41494.0,-176.64721396887762,-0.42571748679056637,236,0.0,OOS,True,True,True,True
2026-05-18,744.7930664905442,10:14:00,40697.0,198.11495568648388,0.4868048153094427,211,0.0129821097371431,OOS,True,True,True,True
2026-05-21,730.9804171319126,09:33:00,41464.0,194.4407909570873,0.4689388167014453,252,0.0024162125375882,OOS,True,True,True,True
2026-05-22,728.8870440717305,12:06:00,42295.0,193.8839537230815,0.4584086859512507,99,0.0,OOS,False,True,False,True
2026-05-25,727.2787541601372,09:03:00,43520.0,193.45614860659407,0.44452240029088713,282,,OOS,True,False,True,True
2026-05-27,748.4300005709966,09:06:00,44973.0,-199.08238015188545,-0.44267089176146895,279,,OOS,True,False,True,True
2026-05-28,768.8652386118541,11:47:00,44037.0,-204.5181534707517,-0.4644234472619654,118,0.5378078024468027,OOS,False,False,False,False
2026-05-29,875.6399777916776,11:48:00,45287.0,-2.0,-0.004416278402190474,117,0.0187056383058985,OOS,False,True,False,True
2026-06-01,869.9599799067558,09:31:00,46012.0,231.40935465519578,0.5029326146552981,254,0.0360692631900001,OOS,True,False,True,True
2026-06-02,888.0590294394458,12:56:00,45978.0,109.0,0.23706990299708555,49,0.0,OOS,False,True,False,True
2026-06-05,808.3309451382312,09:35:00,45217.0,215.0160314067689,0.4755203383832826,250,0.0,OOS,True,True,True,True
2026-06-08,838.9660932203044,09:00:00,42852.0,-223.16498079660232,-0.5207807822192717,285,,OOS,True,False,True,True
2026-06-09,895.2550367231325,09:40:00,44193.0,238.1378397683511,0.5388587327593761,245,0.0,OOS,True,True,True,True
