date,session_open,vwap_t1,vwap_t2,or_high,or_low,brk_time,day_low,max_decline,EmaHL,reach_ratio,L2,L3,L4,L5
2023-12-26,17651.0,17629.106928118737,17566.739580366466,17655.0,17638.0,09:06:00,17634.0,30.0,102.94574835543358,0.29141562890408157,0.0,0.0,0.0,0.0
2024-01-09,17770.0,17633.139683350357,17548.52294199669,17782.0,17721.0,09:00:00,17526.0,256.0,111.80545718613983,2.2896914555234744,1.0,1.0,1.0,1.0
2024-01-15,17580.0,17507.023622047243,17541.5043236746,17655.0,17574.0,09:10:00,17527.0,128.0,121.85584702852682,1.0504214867099058,1.0,1.0,1.0,0.0
2024-01-19,17541.0,17265.85869013743,17254.108657072793,17573.0,17533.0,09:05:00,17504.0,75.0,131.0734099506103,0.5721984346654344,1.0,0.0,0.0,0.0
2024-01-25,18016.0,17909.640007922964,17847.52899817426,18030.0,18007.0,08:59:00,17935.0,95.0,121.69973343500644,0.7806097623930672,1.0,1.0,0.0,0.0
2024-01-30,18129.0,18073.677123130663,17989.726947819872,18139.0,18097.0,08:58:00,18064.0,75.0,120.75202155606405,0.6211076140466782,1.0,0.0,0.0,0.0
2024-02-02,18100.0,17933.88287494265,17941.72636834835,18105.0,18048.0,08:59:00,18023.0,82.0,114.47728278296547,0.7162993216345088,1.0,1.0,0.0,0.0
2024-02-19,18680.0,18675.56646301876,18613.49594169893,18692.0,18655.0,08:59:00,18619.0,73.0,116.79605704186447,0.6250210995892936,1.0,0.0,0.0,0.0
2024-02-21,18755.0,18691.347880337198,18660.097018448578,18755.0,18724.0,08:58:00,18679.0,76.0,116.9464321816623,0.6498701891302087,1.0,0.0,0.0,0.0
2024-02-23,18990.0,18832.711694454298,18705.772588441836,18999.0,18961.0,09:01:00,18898.0,102.0,115.51850797637209,0.8829753931799644,1.0,1.0,0.0,0.0
2024-03-08,19930.0,19687.91666252382,19414.286344804612,19993.0,19929.0,09:09:00,19638.0,371.0,153.1391212655124,2.422633726340644,1.0,1.0,1.0,1.0
2024-03-13,19994.0,19840.287635584325,19739.92840874115,20035.0,19988.0,09:14:00,19886.0,178.0,179.49543599612883,0.9916686684102592,1.0,1.0,1.0,0.0
2024-03-19,19816.0,19815.259123139178,19803.60703361027,19821.0,19765.0,09:00:00,19739.0,86.0,176.19115859364928,0.48810621762436057,0.0,0.0,0.0,0.0
2024-03-25,20256.0,20203.41935722984,20138.16730695162,20271.0,20225.0,08:58:00,20188.0,83.0,183.51185966281005,0.45228684485300613,0.0,0.0,0.0,0.0
2024-04-01,20393.0,20260.380679721446,20193.420280218932,20400.0,20363.0,08:59:00,20259.0,141.0,184.21682622423504,0.7654023950470733,1.0,1.0,0.0,0.0
2024-04-10,20822.0,20724.38705653155,20452.837949879722,20840.0,20813.0,09:14:00,20804.0,83.0,190.86955714293111,0.4348519546144602,0.0,0.0,0.0,0.0
2024-04-30,20518.0,20477.665155737956,20169.50526965104,20534.0,20487.0,09:08:00,20404.0,172.0,243.38678791617076,0.7066940710817944,1.0,0.0,0.0,0.0
2024-05-03,20548.0,20316.388794926002,20517.75670894309,20597.0,20533.0,09:00:00,20306.0,291.0,229.77013704702415,1.26648311978177,1.0,1.0,1.0,0.0
2024-05-06,20685.0,20454.74648725887,20316.388794926002,20691.0,20626.0,09:02:00,20562.0,129.0,235.6015525663552,0.5475345921740827,1.0,0.0,0.0,0.0
2024-05-07,20733.0,20633.934337457413,20454.74648725887,20754.0,20716.0,09:08:00,20536.0,220.0,227.63949994098803,0.9664403587999075,1.0,1.0,0.0,0.0
2024-05-10,20738.0,20692.933077762827,20665.473865350337,20751.0,20708.0,09:12:00,20616.0,135.0,214.92790520410722,0.628117600047312,1.0,0.0,0.0,0.0
2024-05-13,20942.0,20723.556874574293,20692.933077762827,20965.0,20922.0,09:07:00,20833.0,132.0,214.64905708943036,0.6149572785917441,1.0,0.0,0.0,0.0
2024-05-23,21630.0,21481.30905156489,21270.0716068497,21650.0,21557.0,09:14:00,21492.0,158.0,220.7737178203857,0.7156648968902342,1.0,1.0,0.0,0.0
