strategy,mode,fraction,period,n_trades,wr,ev_pts,ev_pct,pf,total_pts
S002,no_satreach,0.85,2025,99,46.464646464646464,10.424242424242424,0.04393977796641518,1.4538258575197889,1032.0
S002,no_satreach,0.85,2026,13,53.84615384615385,8.076923076923077,0.023046939737409657,1.1560178306092124,105.0
S002,no_satreach,0.9,IS,323,43.343653250774,-0.9752321981424149,-0.004238797041628546,0.9494300850858886,-315.0
S002,no_satreach,0.9,OOS,118,46.61016949152542,10.322033898305085,0.03808171517783605,1.3898847631241997,1218.0
S002,no_satreach,0.9,2022,121,36.36363636363637,-3.272727272727273,-0.019604151930915144,0.8262395787626152,-396.0
S002,no_satreach,0.9,2023,103,46.601941747572816,2.1067961165048543,0.013675827123126155,1.1465226198514518,217.0
S002,no_satreach,0.9,2024,99,48.484848484848484,-1.3737373737373737,-0.004097366206942225,0.9449169704333739,-136.0
S002,no_satreach,0.9,2025,103,45.63106796116505,8.009708737864077,0.032245280582118147,1.339087546239211,825.0
S002,no_satreach,0.9,2026,14,50.0,26.357142857142858,0.077799049948805,1.5340086830680173,369.0
S002,no_satreach,0.95,IS,348,45.689655172413794,1.0229885057471264,0.006274504053590368,1.0556336927644945,356.0
S002,no_satreach,0.95,OOS,126,47.61904761904761,16.047619047619047,0.05654781776066182,1.621771217712177,2022.0
S002,no_satreach,0.95,2022,126,39.682539682539684,-0.9523809523809523,-0.0053731640446610775,0.9475295146480105,-120.0
S002,no_satreach,0.95,2023,114,48.24561403508772,2.1403508771929824,0.013708396785339923,1.1523096129837702,244.0
S002,no_satreach,0.95,2024,108,50.0,2.1481481481481484,0.01201656339581475,1.0924302788844622,232.0
S002,no_satreach,0.95,2025,109,45.87155963302752,8.871559633027523,0.03693867571775475,1.3775868801249511,967.0
S002,no_satreach,0.95,2026,16,56.25,64.4375,0.1884698495540566,2.492040520984081,1031.0
S002,no_satreach,1.0,IS,365,44.93150684931507,0.7726027397260274,0.004428766542649664,1.042406015037594,282.0
S002,no_satreach,1.0,OOS,130,48.46153846153846,20.546153846153846,0.07149226799603418,1.814577615126563,2671.0
S002,no_satreach,1.0,2022,130,39.23076923076923,-2.0692307692307694,-0.013667246179343838,0.8842512908777969,-269.0
S002,no_satreach,1.0,2023,120,46.666666666666664,2.591666666666667,0.017151332274070303,1.1824046920821114,311.0
S002,no_satreach,1.0,2024,115,49.56521739130435,2.0869565217391304,0.011609407986899035,1.0915681037771843,240.0
S002,no_satreach,1.0,2025,112,46.42857142857143,10.678571428571429,0.04438069890735614,1.4621329211746523,1196.0
S002,no_satreach,1.0,2026,17,58.82352941176471,85.3529411764706,0.24942145706572597,3.0998552821997105,1451.0
S003,with_satreach,0.8,IS,38,52.63157894736842,0.7894736842105263,0.012394872090956443,1.0316789862724394,30.0
S003,with_satreach,0.8,OOS,32,56.25,16.25,0.051283972702470974,1.5179282868525896,520.0
S003,with_satreach,0.8,2022,16,68.75,19.1875,0.11319726680514897,2.7443181818181817,307.0
S003,with_satreach,0.8,2023,5,20.0,-10.0,-0.06513855406999172,0.4791666666666667,-50.0
S003,with_satreach,0.8,2024,17,47.05882352941176,-13.352941176470589,-0.059674021122122355,0.6637037037037037,-227.0
S003,with_satreach,0.8,2025,25,52.0,1.72,0.008346281885785059,1.0585034013605443,43.0
S003,with_satreach,0.8,2026,7,71.42857142857143,68.14285714285714,0.20463286847634926,2.7732342007434942,477.0
S003,with_satreach,0.85,IS,38,52.63157894736842,2.4473684210526314,0.016924539560343,1.0981012658227849,93.0
S003,with_satreach,0.85,OOS,33,45.45454545454545,3.0303030303030303,-0.002925876427118476,1.08,100.0
S003,with_satreach,0.85,2022,16,68.75,15.1875,0.08557052147041624,2.3806818181818183,243.0
S003,with_satreach,0.85,2023,5,40.0,-5.4,-0.03600682876945971,0.6746987951807228,-27.0
S003,with_satreach,0.85,2024,17,41.17647058823529,-7.235294117647059,-0.03211539390507806,0.8214804063860668,-123.0
S003,with_satreach,0.85,2025,25,44.0,-10.68,-0.04765713486859381,0.6931034482758621,-267.0
S003,with_satreach,0.85,2026,8,50.0,45.875,0.13685930620249193,1.9657894736842105,367.0
S003,with_satreach,0.9,IS,38,52.63157894736842,5.078947368421052,0.033188334726204985,1.2035864978902953,193.0
S003,with_satreach,0.9,OOS,34,50.0,7.235294117647059,0.0165703708605174,1.2060301507537687,246.0
S003,with_satreach,0.9,2022,16,68.75,19.375,0.1125230497479237,2.7613636363636362,310.0
S003,with_satreach,0.9,2023,5,40.0,0.2,-0.0028687732632167507,1.0120481927710843,1.0
S003,with_satreach,0.9,2024,17,41.17647058823529,-6.9411764705882355,-0.030874600591465066,0.8287373004354136,-118.0
S003,with_satreach,0.9,2025,25,44.0,-5.08,-0.02213160320840152,0.8540229885057471,-127.0
S003,with_satreach,0.9,2026,9,66.66666666666666,41.44444444444444,0.12407585438529217,2.1512345679012346,373.0
