trade_date,list_month,total_value,top1_value,top1_share,top5_value,top5_share,top10_value,top10_share,top20_value,top20_share,top1_ma20,top1_std20,top1_dev_pct,top1_zscore,top5_ma20,top5_std20,top5_dev_pct,top5_zscore,top10_ma20,top10_std20,top10_dev_pct,top10_zscore,top20_ma20,top20_std20,top20_dev_pct,top20_zscore,list_changed,tx_open,tx_close,tx_high,tx_low,tx_dir,tx_range,weekday
2025-11-10,2025-10,473429181296,39203254959,8.2807,99908558844,21.1032,136359055098,28.8024,201707695845,42.6057,10.6497,2.4864,-22.2446,-0.9528,23.8358,3.6038,-11.4643,-0.7583,30.7288,4.5287,-6.269,-0.4254,44.7807,3.9422,-4.8569,-0.5517,True,27777.0,28016.0,28039.0,27718.0,0.008604240918745724,0.011556323577060157,0
2025-11-11,2025-10,552252483011,36769705255,6.6581,115531885759,20.9201,166083671985,30.0739,237754328198,43.0517,10.1903,2.3191,-34.6627,-1.5231,23.3846,3.3551,-10.5389,-0.7345,30.3743,4.2684,-0.9889,-0.0704,44.4881,3.8358,-3.2287,-0.3745,True,28149.0,27780.0,28180.0,27762.0,-0.013108813812213578,0.014849550605705353,1
2025-11-12,2025-10,544457972582,38344962465,7.0428,106326677730,19.5289,155280420961,28.5202,205081278942,37.6671,10.0456,2.4237,-29.8919,-1.239,23.1953,3.4643,-15.8067,-1.0583,30.1811,4.2601,-5.5033,-0.3899,44.0808,4.1104,-14.5499,-1.5604,True,27889.0,28054.0,28078.0,27858.0,0.0059163110903940625,0.007888414787192082,2
2025-11-13,2025-10,641719613457,35016372835,5.4566,150278101319,23.418,203097611405,31.649,255419330967,39.8023,9.6396,2.4804,-43.3937,-1.6864,23.1774,3.4621,1.0379,0.0695,30.2027,4.2667,4.7888,0.339,43.9522,4.2057,-9.4418,-0.9867,True,28038.0,27980.0,28044.0,27802.0,-0.0020686211570012125,0.008631143448177473,3
2025-11-14,2025-10,556613581377,46933830385,8.432,139270443031,25.021,176352102991,31.683,241791686242,43.4398,9.4614,2.4298,-10.8803,-0.4237,23.2513,3.4859,7.6114,0.5077,30.1956,4.264,4.9259,0.3488,44.0112,4.189,-1.2984,-0.1364,True,27510.0,27401.0,27596.0,27366.0,-0.003962195565249,0.008360596146855689,4
2025-11-17,2025-10,506396364464,50497384300,9.9719,122124576388,24.1164,154113380910,30.4334,207210844960,40.9187,9.3282,2.317,6.9004,0.2778,23.0467,3.2945,4.6416,0.3247,29.9274,4.0568,1.6907,0.1247,43.6903,4.1666,-6.3438,-0.6652,True,27570.0,27479.0,27690.0,27465.0,-0.003300689154878491,0.008161044613710556,0
2025-11-18,2025-10,602657991004,70572614780,11.7102,146597577314,24.3252,210762327332,34.9721,291515203193,48.3716,9.3539,2.3415,25.1904,1.0063,22.8742,3.1196,6.3436,0.4651,29.7778,3.7913,17.4436,1.3701,43.5114,3.8587,11.17,1.2596,True,27142.0,26805.0,27298.0,26772.0,-0.012416181563628325,0.019379559354505933,1
2025-11-19,2025-10,475702847665,59869558425,12.5855,122915965093,25.8388,173829213970,36.5416,233702916929,49.1279,9.4166,2.4129,33.652,1.3133,23.0432,3.1867,12.1322,0.8773,30.1259,4.0807,21.2962,1.5722,43.7004,4.0416,12.4198,1.3429,True,26801.0,26595.0,26919.0,26559.0,-0.007686280362673034,0.01343233461438006,2
2025-11-20,2025-10,558636285220,41079763730,7.3536,145781494222,26.096,211897564665,37.9312,283939896363,50.8273,9.2538,2.4379,-20.5344,-0.7794,23.3502,3.1693,11.759,0.8664,30.8186,4.1746,23.0787,1.7038,44.4072,3.987,14.4574,1.6103,True,27308.0,27482.0,27492.0,27201.0,0.00637175919144573,0.010656217958107514,3
2025-11-21,2025-10,515360926521,90158936045,17.4943,155720198202,30.2158,197357767539,38.2951,266935797809,51.7959,9.6516,3.0572,81.2586,2.5653,23.8681,3.4061,26.595,1.8636,31.5557,4.1255,21.357,1.6336,44.9277,4.2431,15.2871,1.6187,True,26750.0,26486.0,26770.0,26397.0,-0.009869158878504673,0.01394392523364486,4
