date,session_open,vwap_t1,vwap_t2,or_low,brk_time,brk_close,day_low,max_decline,fwd_mfe,EmaHL,reach_sw,reach_fwd,L3,L4,L3_f,L4_f
2022-07-12,14157.0,14326.757357111876,14380.927085504049,14111.0,08:58:00,14109.0,13850.0,331.0,259.0,291.71952433836645,1.134651514158072,0.8878391002022376,1.0,1.0,1.0,0.0
2022-08-02,14767.0,14883.04211675093,14936.417911716575,14702.0,09:00:00,14693.0,14589.0,189.0,104.0,195.04875555932446,0.9689884944819106,0.5332000181276122,1.0,0.0,0.0,0.0
2022-08-10,14874.0,14960.607926026725,14941.004946236559,14849.0,08:58:00,14840.0,14832.0,71.0,3.0,192.46802990241412,0.3688924339070686,0.015587004249594447,0.0,0.0,0.0,0.0
2022-08-22,15171.0,15340.829523376462,15280.442203952112,15163.0,09:00:00,15162.0,15156.0,83.0,4.0,141.79561399133013,0.5853495581681032,0.028209617261113405,0.0,0.0,0.0,0.0
2022-08-29,14832.0,15274.608173690933,15170.35573204758,14808.0,08:58:00,14803.0,14762.0,85.0,41.0,126.43571253705984,0.672278411648018,0.32427546914786753,0.0,0.0,0.0,0.0
2022-09-07,14445.0,14657.709609213167,14633.106281341865,14422.0,09:04:00,14411.0,14331.0,124.0,80.0,157.64874033319708,0.7865587745130149,0.5074572738793645,1.0,0.0,0.0,0.0
2022-09-22,14225.0,14464.683442260834,14512.44306542957,14182.0,08:58:00,14181.0,14088.0,155.0,93.0,139.68353125022236,1.1096512138022947,0.6657907282813768,1.0,1.0,0.0,0.0
2022-09-26,13916.0,14148.888307255935,14179.281981852226,13913.0,09:00:00,13899.0,13740.0,213.0,159.0,144.77948930006863,1.4712028687885352,1.0982218597998925,1.0,1.0,1.0,1.0
2022-09-28,13796.0,13802.221623218375,13836.111508500746,13781.0,09:15:00,13779.0,13486.0,363.0,293.0,148.86937786241447,2.4383792369676303,1.968168364825112,1.0,1.0,1.0,1.0
2022-09-30,13356.0,13571.059903213149,13606.417152119251,13318.0,09:03:00,13313.0,13298.0,117.0,15.0,172.28536373771342,0.6791058593817659,0.08706485376689306,0.0,0.0,0.0,0.0
2022-10-11,13251.0,13748.956392981418,13866.779840789577,13244.0,09:01:00,13226.0,13081.0,216.0,145.0,165.13230482285866,1.3080420589521131,0.8780837895743352,1.0,1.0,1.0,0.0
2022-10-12,13049.0,13179.588658067574,13748.956392981418,13045.0,09:06:00,13039.0,12975.0,135.0,64.0,169.97684722068163,0.7942258149118918,0.376521867810082,1.0,0.0,0.0,0.0
2022-10-20,12815.0,13079.236071493597,13088.931916367415,12772.0,08:59:00,12765.0,12662.0,157.0,103.0,183.15037618524647,0.8572190965155495,0.562379407268163,1.0,0.0,0.0,0.0
2022-10-26,12722.0,12756.587084482806,12968.056117487678,12703.0,09:00:00,12688.0,12664.0,94.0,24.0,203.22666057269092,0.4625377385777478,0.11809474176453136,0.0,0.0,0.0,0.0
2022-11-04,12880.0,12939.06595526536,13063.534660800411,12870.0,09:11:00,12869.0,12850.0,56.0,19.0,170.43558504616237,0.3285698816056074,0.11147906697333108,0.0,0.0,0.0,0.0
2022-11-22,14457.0,14459.540368722186,14530.075885904278,14413.0,08:59:00,14405.0,14364.0,111.0,41.0,177.57754729043015,0.6250790243118868,0.2308850450161023,0.0,0.0,0.0,0.0
2022-11-29,14470.0,14517.889427594242,14746.467771908518,14453.0,09:15:00,14444.0,14431.0,96.0,13.0,158.49118943637455,0.6057119032382471,0.08202348689684597,0.0,0.0,0.0,0.0
2022-12-05,14898.0,14899.44490674114,15016.749657352753,14889.0,08:58:00,14886.0,14880.0,132.0,6.0,168.3874738331136,0.7839062906236322,0.035632104119256006,1.0,0.0,0.0,0.0
2022-12-08,14567.0,14673.116869509902,14798.673206926764,14537.0,09:01:00,14536.0,14413.0,157.0,123.0,174.4984000670906,0.8997217163001903,0.7048775229612956,1.0,0.0,0.0,0.0
2022-12-23,14168.0,14351.911337512336,14234.46623737485,14142.0,09:05:00,14136.0,14125.0,72.0,11.0,163.84175132639191,0.439448427626775,0.06713795422075729,0.0,0.0,0.0,0.0
2022-12-28,14190.0,14338.431681107064,14221.775741957408,14157.0,09:00:00,14140.0,14070.0,125.0,70.0,146.2777855898631,0.8545385035461076,0.47854156198582026,1.0,0.0,0.0,0.0
2023-02-06,15504.0,15557.70948724024,15539.325453918029,15451.0,09:05:00,15449.0,15391.0,114.0,58.0,139.08602655901237,0.8196366149810981,0.41700810235880426,1.0,0.0,0.0,0.0
2023-02-13,15510.0,15561.169306704776,15575.34117542928,15506.0,09:05:00,15504.0,15431.0,116.0,73.0,123.15738941733909,0.941884206451591,0.5927374747497082,1.0,0.0,0.0,0.0
2023-02-22,15353.0,15508.535914016078,15489.10248692949,15351.0,09:04:00,15342.0,15306.0,73.0,36.0,124.62223904692372,0.5857702490204295,0.28887299951692413,0.0,0.0,0.0,0.0
2023-03-10,15618.0,15797.00754615067,15771.785952910173,15577.0,09:03:00,15568.0,15452.0,172.0,116.0,135.10021028860686,1.2731290323868945,0.8586219055632544,1.0,1.0,1.0,0.0
2023-03-13,15450.0,15531.013012641997,15797.00754615067,15444.0,09:08:00,15435.0,15345.0,170.0,90.0,138.6144759754062,1.2264231336859968,0.6492828354808219,1.0,1.0,0.0,0.0
2023-03-14,15358.0,15461.132815829804,15531.013012641997,15336.0,08:58:00,15334.0,15310.0,94.0,24.0,143.98452588251038,0.6528479322611573,0.1666845784496572,0.0,0.0,0.0,0.0
2023-04-06,15780.0,15903.046824903387,15815.440080282513,15743.0,09:07:00,15720.0,15701.0,88.0,19.0,132.5030950810853,0.6641354297886278,0.14339287688618102,0.0,0.0,0.0,0.0
2023-04-20,15730.0,15833.7875192604,15912.610891535947,15711.0,09:15:00,15708.0,15682.0,114.0,26.0,118.18623372597057,0.9645793457157044,0.2199917806018273,1.0,0.0,0.0,0.0
2023-04-26,15390.0,15493.961252888406,15608.808633363738,15372.0,09:00:00,15369.0,15312.0,97.0,57.0,138.7413071991722,0.6991429009728888,0.4108365500562336,0.0,0.0,0.0,0.0
2023-04-27,15342.0,15358.37661408258,15493.961252888406,15332.0,09:05:00,15328.0,15305.0,79.0,23.0,134.76594460877484,0.5862015083212363,0.17066626191630932,0.0,0.0,0.0,0.0
2023-05-10,15692.0,15707.439361585633,15735.257949793908,15678.0,09:00:00,15677.0,15581.0,121.0,96.0,118.00915699074298,1.0253441604492746,0.8134961934143005,1.0,1.0,1.0,0.0
2023-05-12,15450.0,15586.563972116384,15632.881584724819,15434.0,09:10:00,15430.0,15420.0,56.0,10.0,122.83742783142452,0.4558871102124622,0.08140841253793968,0.0,0.0,0.0,0.0
2023-05-24,16055.0,16129.304149877658,16124.482290672451,16046.0,09:11:00,16037.0,16005.0,81.0,32.0,123.42806109828335,0.6562527133558493,0.25926033120231085,0.0,0.0,0.0,0.0
2023-06-26,16851.0,16993.39100297072,17179.36817188638,16841.0,09:06:00,16837.0,16822.0,84.0,15.0,120.57252507158977,0.696676128745957,0.12440645156177804,0.0,0.0,0.0,0.0
2023-06-27,16805.0,16880.850633963833,16993.39100297072,16780.0,08:59:00,16777.0,16705.0,150.0,72.0,117.94657030286693,1.2717622870662983,0.6104458977918232,1.0,1.0,0.0,0.0
2023-07-21,16860.0,17099.783440720916,17139.424260487296,16838.0,09:04:00,16830.0,16816.0,75.0,14.0,158.67774920333034,0.4726560615874043,0.08822913149631548,0.0,0.0,0.0,0.0
2023-08-09,16815.0,16869.5982257347,16943.594323873123,16806.0,09:00:00,16804.0,16780.0,155.0,24.0,191.91674108946307,0.8076418926254374,0.1250542285355516,1.0,0.0,0.0,0.0
2023-08-10,16788.0,16857.73391744981,16869.5982257347,16757.0,09:03:00,16745.0,16584.0,213.0,161.0,188.4008609857047,1.1305680817252837,0.8545608505059656,1.0,1.0,1.0,0.0
2023-08-14,16567.0,16665.977969539945,16657.677576759153,16516.0,09:00:00,16481.0,16306.0,264.0,175.0,189.7204326889782,1.3915211780735997,0.9224098718290906,1.0,1.0,1.0,0.0
2023-09-04,16646.0,16669.592094357668,16650.039397076667,16633.0,08:59:00,16631.0,16607.0,85.0,24.0,154.90503401740213,0.548723290622376,0.15493363499925913,0.0,0.0,0.0,0.0
2023-09-20,16620.0,16681.613933413864,16752.73588684441,16596.0,09:11:00,16595.0,16544.0,114.0,51.0,138.44074481380267,0.8234569970952229,0.3683886565952313,1.0,0.0,0.0,0.0
2023-09-21,16479.0,16591.420351935645,16681.613933413864,16421.0,09:00:00,16407.0,16280.0,203.0,127.0,136.11305483153575,1.491407273543664,0.9330479001972678,1.0,1.0,1.0,0.0
