trade_date,exit_date,is_lc_hv,entry_adj,exit_adj,pnl_pts,ret_pct
2025-02-04,2025-03-19,False,23192.0,22413.0,-785.0,-3.3847878578820283
2025-02-05,2025-03-20,False,23503.0,22744.0,-765.0,-3.2549036293239157
2025-02-06,2025-03-21,False,23660.0,22556.0,-1110.0,-4.691462383770076
2025-02-07,2025-03-24,False,23801.0,22539.0,-1268.0,-5.327507247594639
2025-02-10,2025-03-25,False,23616.0,22677.0,-945.0,-4.001524390243903
2025-02-11,2025-03-26,False,23705.0,22684.0,-1027.0,-4.332419320818392
2025-02-12,2025-03-27,False,23685.0,22347.0,-1344.0,-5.674477517416086
2025-02-13,2025-03-28,False,23769.0,21982.0,-1793.0,-7.543438933064076
2025-02-14,2025-03-31,False,23549.0,21148.0,-2407.0,-10.221240817019831
2025-02-17,2025-04-01,False,23874.0,21560.0,-2320.0,-9.717684510345984
2025-02-18,2025-04-02,False,24019.0,21683.0,-2342.0,-9.750614097173072
2025-02-19,2025-04-07,False,23981.0,19546.0,-4441.0,-18.518827405028983
2025-02-20,2025-04-08,False,23910.0,18569.0,-5347.0,-22.36302802174822
2025-02-21,2025-04-09,True,24117.0,17583.0,-6540.0,-27.11780072148277
2025-02-24,2025-04-10,True,23930.0,19281.0,-4655.0,-19.452569995821143
2025-02-25,2025-04-11,False,23671.0,19903.0,-3774.0,-15.943559629926915
2025-02-26,2025-04-14,True,23793.0,19870.0,-3929.0,-16.51326020258059
2025-02-27,2025-04-15,False,23568.0,20177.0,-3397.0,-14.413611676849966
2025-03-03,2025-04-16,False,23090.0,19732.0,-3364.0,-14.569077522737114
2025-03-04,2025-04-17,False,22960.0,19748.0,-3218.0,-14.015679442508711
2025-03-05,2025-04-18,False,23260.0,19709.0,-3557.0,-15.292347377472055
2025-03-06,2025-04-21,False,23135.0,19478.0,-3663.0,-15.833153231035228
2025-03-07,2025-04-22,False,22892.0,19176.0,-3722.0,-16.258955093482438
2025-03-10,2025-04-23,False,22818.0,19933.0,-2891.0,-12.66982207029538
2025-03-11,2025-04-24,False,22403.0,19845.0,-2564.0,-11.44489577288756
2025-03-12,2025-04-25,False,22604.0,20252.0,-2358.0,-10.431781985489295
2025-03-13,2025-04-28,False,22292.0,20344.0,-1954.0,-8.765476404091153
2025-03-14,2025-04-29,False,22333.0,20533.0,-1806.0,-8.08668786101285
2025-03-17,2025-04-30,False,22530.0,20528.0,-2008.0,-8.912561029738127
2025-03-18,2025-05-02,True,22602.0,21056.0,-1552.0,-6.866648969117777
2025-03-19,2025-05-05,False,22413.0,20783.0,-1636.0,-7.299335207245796
2025-03-20,2025-05-06,True,22744.0,20716.0,-2034.0,-8.943017938797047
2025-03-21,2025-05-07,True,22556.0,20760.0,-1802.0,-7.989005142755808
2025-03-24,2025-05-08,True,22539.0,20954.0,-1591.0,-7.05887572651848
2025-03-25,2025-05-09,True,22677.0,21227.0,-1456.0,-6.4206023724478545
2025-03-26,2025-05-12,False,22684.0,21445.0,-1245.0,-5.488450008816788
2025-03-27,2025-05-13,False,22347.0,21739.0,-614.0,-2.7475723810802344
2025-03-28,2025-05-14,False,21982.0,22147.0,159.0,0.7233190792466563
2025-03-31,2025-05-15,False,21148.0,22073.0,919.0,4.345564592396444
2025-04-01,2025-05-16,False,21560.0,22200.0,634.0,2.9406307977736548
2025-04-02,2025-05-19,False,21683.0,21917.0,228.0,1.0515150117603653
2025-04-07,2025-05-20,False,19546.0,21918.0,2366.0,12.104778471298475
2025-04-08,2025-05-21,False,18569.0,22051.0,3476.0,18.719370994668534
2025-04-09,2025-05-22,False,17583.0,21882.0,4293.0,24.41562873229824
2025-04-10,2025-05-23,False,19281.0,21849.0,2562.0,13.287692547067062
2025-04-11,2025-05-26,False,19903.0,21764.0,1855.0,9.320202984474703
2025-04-14,2025-05-27,False,19870.0,21612.0,1736.0,8.736789129340714
2025-04-15,2025-05-28,False,20177.0,21631.0,1448.0,7.176488080487683
2025-04-16,2025-05-29,False,19732.0,21699.0,1961.0,9.938171498074194
2025-04-17,2025-06-02,False,19748.0,21245.0,1491.0,7.550131658902168
2025-04-18,2025-06-03,False,19709.0,21350.0,1635.0,8.295702470952357
2025-04-21,2025-06-04,False,19478.0,21861.0,2377.0,12.20351165417394
