trade_date,nh,nl,nb,night_range,sma20,ema20,norm_sma,norm_ema,norm_sma_exp_med,norm_ema_exp_med
2023-11-09,16797.0,16689.0,840,108.0,136.0,130.53634357730897,0.7941176470588235,0.827355792573108,0.9179247762688528,0.9378312896663549
2023-11-10,16843.0,16701.0,840,142.0,138.85,131.62812037947003,1.02268635217861,1.0787968375650197,0.9178947368421052,0.9363284524321549
2023-11-13,17041.0,16743.0,840,298.0,144.6,147.47306129571098,2.0608575380359615,2.0207080356354337,0.9179247762688528,0.9378312896663549
2023-11-14,16956.0,16860.0,840,96.0,142.2,142.57086498183375,0.6751054852320676,0.6733493551591501,0.9179548156956004,0.9382254283973974
2023-11-15,17177.0,16948.0,840,229.0,146.1,150.80221117404005,1.567419575633128,1.518545372890536,0.9179247762688528,0.9378312896663549
2023-11-16,17260.0,17156.0,840,104.0,144.2,146.34485772889337,0.7212205270457698,0.7106501835046501,0.9179548156956004,0.9382254283973974
2023-11-17,17231.0,17122.0,840,109.0,143.6,142.78820461185592,0.7590529247910864,0.763368376934894,0.9179247762688528,0.9378312896663549
2023-11-20,17248.0,17185.0,840,63.0,139.1,135.18932798215536,0.45291157440690155,0.4660131161264137,0.9178947368421052,0.9363284524321549
2023-11-21,17300.0,17188.0,840,112.0,134.55,132.98082055528343,0.8324043106651802,0.8422267175997671,0.9165668454273646,0.9348256151979549
2023-11-22,17421.0,17308.0,840,113.0,133.8,131.07788526430406,0.8445440956651719,0.8620828736452988,0.9152389540126239,0.9346778828805868
2023-11-23,17350.0,17225.0,840,125.0,131.3,130.49903904865604,0.9520182787509519,0.9578614594502436,0.9147316039221496,0.9345301505632186
2023-11-24,17376.0,17285.0,840,91.0,130.1,126.7372258059269,0.6994619523443505,0.7180210819775129,0.9152389540126239,0.9346778828805868
2023-11-27,17316.0,17273.0,840,43.0,125.65,118.76225191964815,0.34222045364106646,0.3620679071418486,0.9147316039221496,0.9345301505632186
2023-11-28,17245.0,17166.0,840,79.0,124.2,114.97537078444357,0.6360708534621577,0.6871036767353386,0.9142242538316753,0.9343248341641102
2023-11-29,17387.0,17322.0,840,65.0,122.75,110.21581166211561,0.5295315682281059,0.5897520421050657,0.9137865999837533,0.9341195177650017
2023-11-30,17445.0,17330.0,840,115.0,119.25,110.67144864667603,0.9643605870020965,1.0391117257996965,0.9133489461358314,0.9334811971391399
2023-12-01,17444.0,17322.0,840,122.0,118.9,111.75035829937354,1.0260723296888141,1.0917190947448077,0.9137865999837533,0.9341195177650017
2023-12-04,17507.0,17366.0,840,141.0,116.85,114.53603846133797,1.2066752246469834,1.231053578368655,0.9142242538316753,0.9343248341641102
2023-12-05,17417.0,17257.0,840,160.0,120.35,118.86593956025816,1.3294557540506855,1.3460542237071138,0.9147316039221496,0.9345301505632186
2023-12-06,17358.0,17272.0,840,86.0,120.05,115.73585007832881,0.7163681799250312,0.7430713987221427,0.9152389540126239,0.9346778828805868
2023-12-07,17428.0,17294.0,840,134.0,121.35,117.47529292801178,1.1042439225381129,1.1406653829934645,0.9147316039221496,0.9345301505632186
