trade_date,breadth_adv_dec,breadth_adv_dec_cum,new_highs_52w,new_lows_52w,new_high_low_diff,value_concentration_top20,value_per_stock
2014-01-20,1.0524691358024691,-32899.0,88.0,6.0,82.0,0.29586141451110354,79721147.73527466
2014-01-21,0.7413333333333333,-33093.0,84.0,2.0,82.0,0.3136263060945481,85417527.4130146
2014-01-22,0.9270833333333334,-33142.0,69.0,3.0,66.0,0.2867623201618675,75220325.8540146
2014-01-23,0.6196319018404908,-33452.0,54.0,5.0,49.0,0.28289739320639296,71557187.16577896
2014-01-24,0.4566410537870472,-33947.0,43.0,10.0,33.0,0.31277385952270026,66657428.69741207
2014-01-27,0.2115891132572432,-34845.0,29.0,16.0,13.0,0.3202663876548295,78894066.79227696
2014-02-05,0.6590084643288996,-35127.0,63.0,22.0,41.0,0.4055763536781129,102208532.10360962
2014-02-06,3.087878787878788,-34438.0,80.0,15.0,65.0,0.3324816319323028,81981001.16931216
2014-02-07,1.8147368421052632,-34051.0,85.0,4.0,81.0,0.29553968893952537,79757621.26043737
2014-02-10,1.0564885496183205,-34014.0,88.0,5.0,83.0,0.2504678114855767,68309248.23326707
2014-02-11,1.2840336134453783,-33845.0,79.0,8.0,71.0,0.2636789076376356,68762005.28533511
2014-02-12,1.5728155339805825,-33550.0,89.0,3.0,86.0,0.28672296534588826,80879861.097351
2014-02-13,0.58274231678487,-33903.0,72.0,7.0,65.0,0.2614661644681935,67426857.33288948
2014-02-14,0.706111833550065,-34129.0,66.0,5.0,61.0,0.2721522770633155,77794047.38405316
2014-02-17,0.8842857142857142,-34210.0,83.0,4.0,79.0,0.2699618627239596,66246459.8592395
2014-02-18,1.665991902834008,-33881.0,99.0,4.0,95.0,0.2342199719914102,65928639.498332225
2014-02-19,1.48975791433892,-33618.0,119.0,6.0,113.0,0.22649298240423538,78000989.16688919
2014-02-20,0.6897856242118537,-33864.0,89.0,9.0,80.0,0.24410900534266977,82685606.57982633
2014-02-21,2.5238095238095237,-33288.0,109.0,0.0,109.0,0.22940244685908748,83326417.492
2014-02-24,0.8211382113821138,-33420.0,122.0,2.0,120.0,0.2573364144320608,76558151.69793746
2014-02-25,1.0822784810126582,-33368.0,126.0,6.0,120.0,0.23662056752938607,82908349.09223624
2014-02-26,1.0893416927899686,-33311.0,114.0,8.0,106.0,0.25252557081195764,91071962.22177956
2014-02-27,1.2178217821782178,-33179.0,110.0,9.0,101.0,0.24536662565134673,90193222.7192053
2014-03-03,0.6261792452830188,-33496.0,115.0,10.0,105.0,0.25814485307206586,85192545.0490391
2014-03-04,0.5171650055370985,-33932.0,69.0,16.0,53.0,0.22801519561531938,80925330.07615894
2014-03-05,2.7657142857142856,-33314.0,122.0,8.0,114.0,0.22124471643753757,93047837.93891102
2014-03-06,1.4363636363636363,-33074.0,137.0,6.0,131.0,0.24551482777884384,105866544.35415283
2014-03-07,0.3391812865497076,-33752.0,67.0,11.0,56.0,0.2581505855879999,117908104.16754967
2014-03-10,0.8541666666666666,-33857.0,81.0,14.0,67.0,0.27763050756261093,76416351.16932271
2014-03-11,1.4456521739130435,-33611.0,112.0,12.0,100.0,0.2184748551665289,78281168.49071617
2014-03-12,0.8790896159317212,-33696.0,113.0,16.0,97.0,0.22306860130220468,74062781.03846154
2014-03-13,1.2793103448275862,-33534.0,128.0,14.0,114.0,0.2846501997359954,99436448.16743878
2014-03-14,0.6485819975339088,-33819.0,100.0,16.0,84.0,0.2381954565842107,83312358.17989418
2014-03-17,1.608187134502924,-33507.0,110.0,15.0,95.0,0.22877500382077884,78625621.99401994
2014-03-18,1.328695652173913,-33318.0,104.0,8.0,96.0,0.22133474624693772,89921135.56034483
2014-03-19,0.3775303643724696,-33933.0,74.0,13.0,61.0,0.23972173241640188,92128843.0781457
2014-03-20,0.27389705882352944,-34723.0,49.0,22.0,27.0,0.24391790518489329,82989870.88410597
2014-03-21,0.5547866205305652,-35109.0,45.0,19.0,26.0,0.25387323669024947,85332446.98197597
2014-03-24,0.37612838515546637,-35731.0,36.0,26.0,10.0,0.25564489835958465,68716192.89228724
2014-03-25,7.463414634146342,-34671.0,74.0,5.0,69.0,0.23298449401696902,72929259.94687915
