Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,trade_date,weekday,year,night_norm
1,236316,236319,20248.0,20212.0,,,-36.0,0.0,-0.0017779533781113743,2024-03-29 09:16:00,2024-03-29 09:19:00,0 days 00:03:00,,2024-03-29,4,2024,0.7206068268015171
1,236641,236664,20345.0,20288.0,,,-57.0,0.0,-0.002801671172278253,2024-04-01 09:40:00,2024-04-01 10:03:00,0 days 00:23:00,,2024-04-01,0,2024,0.6400506970849176
1,237247,237403,20326.0,20383.0,,,57.0,0.0,0.002804290071829252,2024-04-03 09:44:00,2024-04-03 12:20:00,0 days 02:36:00,,2024-04-03,2,2024,0.9075852931434251
1,238122,238234,20820.0,20868.0,,,48.0,0.0,0.002305475504322807,2024-04-10 09:16:00,2024-04-10 11:08:00,0 days 01:52:00,,2024-04-10,2,2024,1.0794602698650675
-1,240566,240632,19628.0,19576.0,,,52.0,0.0,0.0026492765437130528,2024-04-22 09:52:00,2024-04-22 10:58:00,0 days 01:06:00,,2024-04-22,0,2024,1.1688311688311688
1,241149,241175,20066.0,20128.0,,,62.0,0.0,0.003089803647961631,2024-04-24 09:33:00,2024-04-24 09:59:00,0 days 00:26:00,,2024-04-24,2,2024,1.1251004553978032
1,242373,242432,20533.0,20540.0,,,7.0,0.0,0.00034091462523733185,2024-04-30 09:53:00,2024-04-30 10:52:00,0 days 00:59:00,,2024-04-30,1,2024,0.6958157028678891
-1,242642,242723,20365.0,20304.0,,,61.0,0.0,0.002995335133808008,2024-05-02 09:21:00,2024-05-02 10:42:00,0 days 01:21:00,,2024-05-02,3,2024,0.9232889297197979
1,243233,243303,20604.0,20682.0,,,78.0,0.0,0.0037856726849154754,2024-05-06 09:10:00,2024-05-06 10:20:00,0 days 01:10:00,,2024-05-06,0,2024,1.50856665273715
1,244748,244808,20906.0,20889.0,,,-17.0,0.0,-0.0008131636850664536,2024-05-13 09:20:00,2024-05-13 10:20:00,0 days 01:00:00,,2024-05-13,0,2024,0.6666666666666666
1,245948,246011,21339.0,21370.0,,,31.0,0.0,0.0014527391161722747,2024-05-17 09:16:00,2024-05-17 10:19:00,0 days 01:03:00,,2024-05-17,4,2024,0.7746003152443143
1,248084,248112,21899.0,21915.0,,,16.0,0.0,0.0007306269692679557,2024-05-28 09:45:00,2024-05-28 10:13:00,0 days 00:28:00,,2024-05-28,1,2024,0.425904317386231
-1,248658,248755,21488.0,21496.0,,,-8.0,0.0,-0.00037230081906169943,2024-05-30 09:17:00,2024-05-30 10:54:00,0 days 01:37:00,,2024-05-30,3,2024,1.1197691197691197
-1,249004,249065,21559.0,21410.0,,,149.0,0.0,0.006911266756343015,2024-05-31 10:02:00,2024-05-31 11:03:00,0 days 01:01:00,,2024-05-31,4,2024,1.3911060433295324
-1,249894,249914,21358.0,21404.0,,,-46.0,0.0,-0.002153759715329162,2024-06-05 09:49:00,2024-06-05 10:09:00,0 days 00:20:00,,2024-06-05,2,2024,1.1589982527664533
1,250474,250541,21850.0,21815.0,,,-35.0,0.0,-0.0016018306636155222,2024-06-07 09:27:00,2024-06-07 10:34:00,0 days 01:07:00,,2024-06-07,4,2024,0.9864300626304802
1,252299,252350,22695.0,22746.0,,,51.0,0.0,0.0022471910112360494,2024-06-18 09:46:00,2024-06-18 10:37:00,0 days 00:51:00,,2024-06-18,1,2024,1.3443396226415094
-1,255313,255382,22918.0,22859.0,,,59.0,0.0,0.002574395671524621,2024-07-02 09:50:00,2024-07-02 10:59:00,0 days 01:09:00,,2024-07-02,1,2024,0.7859778597785978
1,257433,257453,24315.0,24368.0,,,53.0,0.0,0.0021797244499279778,2024-07-11 10:03:00,2024-07-11 10:23:00,0 days 00:20:00,,2024-07-11,3,2024,0.9645817633760363
1,257694,257719,23976.0,23858.0,,,-118.0,0.0,-0.004921588254921616,2024-07-12 09:23:00,2024-07-12 09:48:00,0 days 00:25:00,,2024-07-12,4,2024,1.715542521994135
-1,260416,260480,22417.0,22278.0,,,139.0,0.0,0.006200651291430659,2024-07-29 09:36:00,2024-07-29 10:40:00,0 days 01:04:00,,2024-07-29,0,2024,0.9162125340599454
1,261331,261335,22598.0,22514.0,,,-84.0,0.0,-0.003717143110009702,2024-08-01 09:48:00,2024-08-01 09:52:00,0 days 00:04:00,,2024-08-01,3,2024,1.0923441199684294
1,262817,262828,20800.0,20664.0,,,-136.0,0.0,-0.006538461538461493,2024-08-08 09:29:00,2024-08-08 09:40:00,0 days 00:11:00,,2024-08-08,3,2024,1.6349930990551014
1,264053,264062,22090.0,21997.0,,,-93.0,0.0,-0.004210049796287918,2024-08-14 10:01:00,2024-08-14 10:10:00,0 days 00:09:00,,2024-08-14,2,2024,0.8557784145176696
1,264648,264739,22326.0,22345.0,,,19.0,0.0,0.0008510257099345608,2024-08-16 09:54:00,2024-08-16 11:25:00,0 days 01:31:00,,2024-08-16,4,2024,1.2028692293544232
