strategy,cutoff,method,diff_pct,total_N,hi_PF,lo_PF,thr
Reversal,2026-04-06,"SMA, median",56.484856324487865,481,1.5340174838464462,0.9802977232924693,0.9365910413030831
Reversal,2026-04-06,"EMA, median (H066)",90.39017051721923,488,1.6379737192915635,0.8603247293921732,0.9515698556299579
Reversal,2026-04-13,"SMA, fixed 0.85",29.485075280112056,483,1.3944546568627452,1.0769230769230769,0.85
Reversal,2026-04-13,"SMA, median",50.717520240825095,483,1.5244570349386213,1.0114663726571114,0.9349220898258479
Reversal,2026-04-13,"EMA, median (H066)",83.95147001693448,490,1.6314491654021244,0.8868910725486097,0.9505318332287042
Reversal,2026-04-20,"SMA, fixed 0.85",29.485075280112056,483,1.3944546568627452,1.0769230769230769,0.85
Reversal,2026-04-20,"SMA, median",50.717520240825095,483,1.5244570349386213,1.0114663726571114,0.9349220898258479
Reversal,2026-04-20,"EMA, median (H066)",83.95147001693448,490,1.6314491654021244,0.8868910725486097,0.9505318332287042
Exhaustion,2025-12-01,"SMA, fixed 0.85",-30.59424253442306,113,0.7560270009643202,1.0892857142857142,0.85
Exhaustion,2025-12-01,"SMA, median",-42.8078378873722,113,0.613070051716032,1.0719476744186047,1.312111801242236
Exhaustion,2025-12-01,"EMA, median (H066)",-43.984798428795514,116,0.6287657920310982,1.122491349480969,1.2542887432039191
Exhaustion,2025-12-08,"SMA, fixed 0.85",-30.59424253442306,113,0.7560270009643202,1.0892857142857142,0.85
Exhaustion,2025-12-08,"SMA, median",-42.8078378873722,113,0.613070051716032,1.0719476744186047,1.312111801242236
Exhaustion,2025-12-08,"EMA, median (H066)",-43.984798428795514,116,0.6287657920310982,1.122491349480969,1.2542887432039191
Exhaustion,2025-12-15,"SMA, fixed 0.85",-24.987484916030365,115,0.8171006107360977,1.0892857142857142,0.85
Exhaustion,2025-12-15,"SMA, median",-42.974240899342924,115,0.6539727315467795,1.1468023255813953,1.312111801242236
Exhaustion,2025-12-15,"EMA, median (H066)",-43.78825650342954,118,0.6710398445092323,1.193771626297578,1.2542887432039191
Exhaustion,2025-12-22,"SMA, fixed 0.85",-27.05097392115363,116,0.7946233197874336,1.0892857142857142,0.85
Exhaustion,2025-12-22,"SMA, median",-39.327244677789274,116,0.6539727315467795,1.0778688524590163,1.3057078727788904
Exhaustion,2025-12-22,"EMA, median (H066)",-34.52288356358878,119,0.706025267249757,1.0782778864970646,1.2512024689024066
Exhaustion,2025-12-29,"SMA, fixed 0.85",-27.05097392115363,116,0.7946233197874336,1.0892857142857142,0.85
Exhaustion,2025-12-29,"SMA, median",-39.327244677789274,116,0.6539727315467795,1.0778688524590163,1.3057078727788904
Exhaustion,2025-12-29,"EMA, median (H066)",-34.52288356358878,119,0.706025267249757,1.0782778864970646,1.2512024689024066
Exhaustion,2026-01-05,"SMA, fixed 0.85",-27.05097392115363,116,0.7946233197874336,1.0892857142857142,0.85
Exhaustion,2026-01-05,"SMA, median",-39.327244677789274,116,0.6539727315467795,1.0778688524590163,1.3057078727788904
Exhaustion,2026-01-05,"EMA, median (H066)",-34.52288356358878,119,0.706025267249757,1.0782778864970646,1.2512024689024066
Exhaustion,2026-01-12,"SMA, fixed 0.85",-27.05097392115363,116,0.7946233197874336,1.0892857142857142,0.85
Exhaustion,2026-01-12,"SMA, median",-39.327244677789274,116,0.6539727315467795,1.0778688524590163,1.3057078727788904
Exhaustion,2026-01-12,"EMA, median (H066)",-34.52288356358878,119,0.706025267249757,1.0782778864970646,1.2512024689024066
Exhaustion,2026-01-19,"SMA, fixed 0.85",-21.34831460674156,118,0.8567415730337079,1.0892857142857142,0.85
Exhaustion,2026-01-19,"SMA, median",-39.3243104731431,118,0.6979362101313321,1.150273224043716,1.3179905325128316
Exhaustion,2026-01-19,"EMA, median (H066)",-31.76471580012224,121,0.7678138633058652,1.1252446183953033,1.2573750175054315
Exhaustion,2026-01-26,"SMA, fixed 0.85",-21.34831460674156,118,0.8567415730337079,1.0892857142857142,0.85
Exhaustion,2026-01-26,"SMA, median",-39.3243104731431,118,0.6979362101313321,1.150273224043716,1.3179905325128316
Exhaustion,2026-01-26,"EMA, median (H066)",-31.76471580012224,121,0.7678138633058652,1.1252446183953033,1.2573750175054315
Exhaustion,2026-02-02,"SMA, fixed 0.85",-21.34831460674156,118,0.8567415730337079,1.0892857142857142,0.85
Exhaustion,2026-02-02,"SMA, median",-39.3243104731431,118,0.6979362101313321,1.150273224043716,1.3179905325128316
Exhaustion,2026-02-02,"EMA, median (H066)",-31.76471580012224,121,0.7678138633058652,1.1252446183953033,1.2573750175054315
Exhaustion,2026-02-09,"SMA, fixed 0.85",-18.88418165817318,120,0.8835830212234707,1.0892857142857142,0.85
Exhaustion,2026-02-09,"SMA, median",-40.2407790747518,120,0.7110694183864915,1.1898907103825136,1.3179905325128316
Exhaustion,2026-02-09,"EMA, median (H066)",-32.81742878355906,123,0.7813863305865245,1.163078930202218,1.2573750175054315
