date,side,ordinal,is_2nd,entry_min,prior_swing_L,prior_run_open_L,ext_lvl,mfe_L,reach_L3,reach_L4,reach_L5
2024-10-09,short,1,0,611,0.656,0.235,>=L2,0.221,1,0,0
2024-10-11,long,1,0,563,0.582,0.455,>=L2,0.367,1,0,0
2024-10-11,short,1,0,777,0.669,0.127,>=L2,0.091,0,0,0
2024-10-14,long,1,0,619,0.693,0.11,>=L2,0.176,1,0,0
2024-10-15,long,1,0,584,0.551,0.301,>=L2,0.517,1,1,0
2024-10-15,short,1,0,814,0.58,0.249,>=L2,0.097,0,0,0
2024-10-16,long,1,0,590,0.562,0.448,>=L2,0.714,1,1,1
2024-10-16,short,1,0,774,0.644,0.115,>=L2,0.292,1,0,0
2024-10-17,short,1,0,582,0.538,0.423,>=L2,0.35,0,0,0
2024-10-17,long,1,0,675,0.498,0.116,>=L2,0.549,1,1,0
2024-10-18,short,1,0,547,0.532,0.459,>=L2,0.666,1,1,0
2024-10-18,long,1,0,594,0.619,0.072,>=L2,0.119,0,0,0
2024-10-18,short,2,1,641,0.709,0.637,>=L2,0.81,1,1,0
2024-10-21,short,1,0,593,0.554,0.461,>=L2,0.593,1,0,0
2024-10-22,short,1,0,549,0.57,0.559,>=L2,0.376,1,0,0
2024-10-22,long,1,0,570,0.674,0.011,>=L2,0.459,1,1,0
2024-10-23,short,1,0,699,0.622,0.576,>=L2,0.039,0,0,0
2024-10-24,long,1,0,590,0.546,0.243,>=L2,0.147,0,0,0
2024-10-24,short,1,0,606,0.63,0.387,>=L2,0.269,1,0,0
2024-10-24,long,2,1,645,0.546,0.243,>=L2,0.221,0,0,0
2024-10-24,short,2,1,718,0.7,0.457,>=L2,0.243,1,0,0
2024-10-25,long,1,0,551,0.513,0.446,>=L2,0.469,1,0,0
2024-10-28,short,1,0,565,0.538,0.512,>=L2,1.129,1,1,1
2024-10-28,long,1,0,649,0.535,0.026,>=L2,0.196,0,0,0
2024-10-28,short,2,1,709,1.494,1.468,>=L3,0.301,1,0,0
2024-10-29,short,1,0,722,1.611,1.572,>=L3,0.011,0,0,0
2024-10-29,long,1,0,790,0.719,0.039,>=L3,0.514,1,0,0
2024-10-30,long,1,0,593,0.546,0.244,>=L2,0.097,0,0,0
2024-10-30,short,1,0,683,0.512,0.301,>=L2,0.512,1,1,0
2024-11-01,short,1,0,638,0.582,0.552,>=L2,0.027,0,0,0
2024-11-01,long,1,0,710,1.546,0.994,>=L3,0.445,1,1,0
2024-11-04,long,1,0,546,0.514,0.309,>=L2,0.6,1,1,0
2024-11-04,short,1,0,622,0.524,0.205,>=L2,0.0,0,0,0
2024-11-04,long,2,1,679,0.781,0.576,>=L3,0.346,1,0,0
2024-11-05,long,1,0,575,0.651,0.572,>=L2,0.788,1,1,1
2024-11-05,long,2,1,755,1.391,1.312,>=L3,0.329,0,0,0
2024-11-06,short,1,0,541,0.578,0.552,>=L2,0.173,0,0,0
2024-11-06,long,1,0,572,0.502,0.026,>=L2,0.713,1,1,0
2024-11-06,short,2,1,597,0.61,0.584,>=L2,0.079,0,0,0
2024-11-08,short,1,0,710,0.62,0.559,>=L2,0.192,1,0,0
2024-11-08,long,1,0,817,0.667,0.061,>=L2,0.086,1,0,0
2024-11-11,short,1,0,556,0.556,0.376,>=L2,0.396,1,0,0
2024-11-11,long,1,0,733,0.604,0.18,>=L2,0.425,1,0,0
2024-11-12,long,1,0,543,0.649,0.563,>=L2,0.167,1,0,0
2024-11-12,short,1,0,636,0.502,0.086,>=L2,0.635,1,1,0
2024-11-13,long,1,0,547,0.53,0.458,>=L2,0.376,1,0,0
2024-11-13,short,1,0,816,0.532,0.071,>=L2,0.148,1,0,0
2024-11-14,short,1,0,572,0.554,0.281,>=L2,0.42,1,0,0
2024-11-14,long,1,0,746,0.632,0.273,>=L2,0.122,0,0,0
2024-11-15,short,1,0,616,0.499,0.076,>=L2,0.276,0,0,0
2024-11-15,long,1,0,789,0.721,0.645,>=L3,0.076,0,0,0
2024-11-18,short,1,0,561,0.509,0.157,>=L2,0.361,1,0,0
2024-11-19,long,1,0,601,0.547,0.395,>=L2,0.745,1,1,1
2024-11-19,short,1,0,812,0.51,0.151,>=L2,0.053,0,0,0
2024-11-20,short,1,0,616,0.531,0.374,>=L2,0.242,1,0,0
2024-11-21,short,1,0,554,0.508,0.412,>=L2,0.059,0,0,0
2024-11-21,long,1,0,670,0.505,0.096,>=L2,0.232,0,0,0
2024-11-21,short,2,1,821,0.526,0.412,>=L2,0.025,0,0,0
2024-11-22,short,1,0,598,0.543,0.099,>=L2,0.042,0,0,0
2024-11-22,long,1,0,651,0.914,0.815,>=L3,0.035,0,0,0
2024-11-25,short,1,0,608,0.499,0.393,>=L2,0.428,1,0,0
2024-11-26,short,1,0,555,0.528,0.274,>=L2,0.065,0,0,0
2024-11-26,long,1,0,580,0.512,0.254,>=L2,0.323,1,0,0
2024-11-26,short,2,1,788,0.622,0.31,>=L2,0.225,0,0,0
2024-11-27,short,1,0,585,0.501,0.2,>=L2,0.791,1,1,0
2024-11-28,short,1,0,573,0.549,0.276,>=L2,0.444,1,0,0
2024-11-29,short,1,0,538,0.532,0.495,>=L2,0.209,1,0,0
2024-11-29,long,1,0,562,0.572,0.037,>=L2,0.964,1,1,1
2024-12-02,long,1,0,565,0.641,0.539,>=L2,0.514,1,1,0
2024-12-03,short,1,0,608,0.514,0.39,>=L2,0.168,0,0,0
