trade_date,tse23_close,tse28_close
2011-08-23,263.88,948.75
2011-08-25,261.27,922.18
2011-08-26,264.12,921.21
2011-08-29,268.38,933.45
2011-08-30,271.96,936.52
2011-08-31,275.91,945.77
2011-09-01,275.15,961.74
2011-09-02,274.69,964.1
2011-09-05,268.06,930.25
2011-09-07,271.45,902.02
2011-09-08,272.23,904.93
2011-09-09,275.33,907.21
2011-09-13,268.68,861.46
2011-09-14,263.77,827.8
2011-09-15,270.67,842.05
2011-09-16,277.16,875.61
2011-09-19,273.95,851.86
2011-09-20,275.7,848.14
2011-09-21,277.91,854.71
2011-09-22,270.06,826.88
2011-09-23,260.71,792.83
2011-09-26,254.18,774.08
2011-09-27,261.37,804.86
2011-09-28,264.55,810.08
2011-09-29,265.0,818.94
2011-09-30,266.32,828.42
2011-10-03,260.06,787.17
2011-10-04,262.32,793.09
2011-10-05,260.1,782.1
2011-10-06,262.62,804.07
2011-10-07,261.86,827.55
2011-10-11,269.08,854.34
2011-10-12,270.11,846.44
2011-10-13,271.58,849.21
2011-10-14,270.6,832.92
2011-10-17,273.97,845.17
2011-10-18,270.3,827.68
2011-10-19,268.97,832.11
2011-10-20,265.12,815.44
2011-10-21,265.31,823.62
2011-10-24,272.03,861.05
2011-10-25,273.24,860.07
2011-10-26,274.58,862.62
2011-10-27,274.28,866.52
2011-10-28,275.05,883.48
2011-10-31,274.19,885.22
2011-11-01,276.29,880.55
2011-11-02,277.44,862.85
2011-11-03,272.46,835.77
2011-11-04,277.12,857.61
2011-11-07,278.51,852.17
2011-11-08,278.14,850.23
2011-11-09,275.87,845.79
2011-11-10,267.14,802.69
2011-11-11,269.67,809.48
2011-11-14,276.49,820.81
2011-11-15,275.41,812.58
2011-11-16,273.06,792.14
2011-11-17,274.9,787.43
2011-11-18,269.03,785.73
2011-11-21,261.54,771.38
2011-11-22,258.36,770.26
2011-11-23,251.4,743.61
2011-11-24,250.02,767.91
2011-11-25,247.45,752.28
2011-11-28,252.74,763.27
2011-11-29,256.23,773.25
2011-11-30,254.8,755.95
2011-12-01,263.66,804.32
2011-12-02,261.73,801.73
2011-12-05,259.77,795.14
2011-12-06,255.19,777.37
2011-12-07,256.81,788.74
2011-12-08,254.53,779.87
2011-12-09,250.65,773.0
2011-12-12,252.83,777.3
2011-12-13,252.42,760.06
2011-12-14,253.43,762.06
2011-12-15,247.91,740.34
2011-12-16,249.07,742.07
2011-12-19,244.33,709.14
2011-12-20,246.6,703.6
2011-12-21,258.36,750.43
2011-12-22,257.08,764.67
2011-12-23,261.19,796.66
2011-12-26,260.54,790.31
2011-12-29,261.21,784.35
2011-12-30,260.73,785.47
2012-01-02,256.91,762.24
2012-01-03,260.55,782.02
2012-01-04,262.34,783.92
2012-01-05,264.01,789.11
2012-01-06,264.02,777.24
2012-01-09,262.81,769.14
2012-01-10,265.39,781.82
2012-01-11,266.19,778.08
2012-01-12,266.43,776.42
2012-01-13,266.23,776.37
2012-01-16,263.2,761.83
2012-01-17,267.94,774.42
2012-01-18,269.62,761.39
2012-01-30,278.09,780.08
2012-01-31,281.27,809.64
2012-02-01,282.37,822.14
2012-02-02,286.86,832.26
2012-02-03,288.31,834.72
2012-02-04,289.0,868.38
2012-02-06,287.03,849.63
2012-02-07,288.36,851.25
2012-02-08,295.19,871.57
2012-02-09,297.05,874.72
2012-02-10,294.11,875.22
2012-02-13,295.38,879.74
2012-02-14,295.48,863.74
2012-02-15,300.71,875.46
2012-02-16,295.23,853.45
2012-02-17,295.95,853.51
2012-02-20,297.35,854.43
2012-02-21,295.9,845.02
2012-02-22,299.55,853.78
2012-02-23,296.72,844.87
2012-02-24,297.88,850.76
2012-02-29,303.94,870.17
2012-03-01,304.21,862.47
2012-03-02,305.63,859.84
2012-03-03,304.24,853.03
2012-03-05,300.6,836.86
