Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,trade_date,weekday,year,is_long,MAE,MFE,MAE_MFE_ratio,trend_regime
-1,117433,117496,14898.0,14921.0,,,-23.0,0.0,-0.0015438313867632836,2022-08-10 09:28:00,2022-08-10 10:31:00,0 days 01:03:00,,2022-08-10,2,2022,False,27.0,18.0,1.5,with_trend
1,117728,117845,15120.0,15155.0,,,35.0,0.0,0.0023148148148148806,2022-08-11 09:22:00,2022-08-11 11:19:00,0 days 01:57:00,,2022-08-11,3,2022,True,20.0,71.0,0.28169014084507044,with_trend
1,118655,118707,15405.0,15424.0,,,19.0,0.0,0.001233365790327845,2022-08-16 09:46:00,2022-08-16 10:38:00,0 days 00:52:00,,2022-08-16,1,2022,True,8.0,45.0,0.17777777777777778,with_trend
-1,119567,119585,15317.0,15343.0,,,-26.0,0.0,-0.0016974603381862963,2022-08-19 09:55:00,2022-08-19 10:13:00,0 days 00:18:00,,2022-08-19,4,2022,False,27.0,5.0,5.4,with_trend
-1,120139,120209,15098.0,15057.0,,,41.0,0.0,0.0027155914690687455,2022-08-23 09:25:00,2022-08-23 10:35:00,0 days 01:10:00,,2022-08-23,1,2022,False,9.0,76.0,0.11842105263157894,with_trend
1,121029,121050,15287.0,15261.0,,,-26.0,0.0,-0.001700791522208367,2022-08-26 09:12:00,2022-08-26 09:33:00,0 days 00:21:00,,2022-08-26,4,2022,True,26.0,9.0,2.888888888888889,with_trend
-1,121378,121401,14822.0,14854.0,,,-32.0,0.0,-0.0021589529078396286,2022-08-29 10:00:00,2022-08-29 10:23:00,0 days 00:23:00,,2022-08-29,0,2022,False,34.0,7.0,4.857142857142857,with_trend
-1,121647,121688,14895.0,14871.0,,,24.0,0.0,0.00161127895266866,2022-08-30 09:28:00,2022-08-30 10:09:00,0 days 00:41:00,,2022-08-30,1,2022,False,11.0,58.0,0.1896551724137931,with_trend
-1,122582,122594,14713.0,14667.0,,,46.0,0.0,0.0031264867803982854,2022-09-02 10:00:00,2022-09-02 10:12:00,0 days 00:12:00,,2022-09-02,4,2022,False,20.0,56.0,0.35714285714285715,with_trend
-1,122881,122894,14615.0,14638.0,,,-23.0,0.0,-0.0015737256243586462,2022-09-05 09:58:00,2022-09-05 10:11:00,0 days 00:13:00,,2022-09-05,0,2022,False,25.0,14.0,1.7857142857142858,with_trend
