rule,split,recall_A,FPR_bull,hit_B,hit_C,hit_D,n_A,n_bull,youden_J,median_lag_days
A>=5d AND B=score<=22,IS,0.21993355481727575,0.0,0.4024144869215292,0.11547911547911548,0.0,1505,261,0.21993355481727575,114.0
A>=5d OR B=score<=22,IS,0.6498338870431893,0.32567049808429116,0.6599597585513078,0.3415233415233415,0.0,1505,261,0.3241633889588982,27.0
A>=10d AND B=streak>=1,IS,0.20996677740863787,0.0,0.36619718309859156,0.11547911547911548,0.0,1505,261,0.20996677740863787,119.0
A>=10d OR B=streak>=1,IS,0.6411960132890365,0.32567049808429116,0.6599597585513078,0.31695331695331697,0.0,1505,261,0.31552551520474537,27.0
A>=10d AND B=streak>=2,IS,0.19667774086378736,0.0,0.36619718309859156,0.06142506142506143,0.0,1505,261,0.19667774086378736,119.0
A>=10d OR B=streak>=2,IS,0.6006644518272425,0.24904214559386972,0.6217303822937625,0.18181818181818182,0.0,1505,261,0.35162230623337276,49.0
A>=10d AND B=streak>=3,IS,0.1813953488372093,0.0,0.36619718309859156,0.009828009828009828,0.0,1505,261,0.1813953488372093,119.0
A>=10d OR B=streak>=3,IS,0.573421926910299,0.1685823754789272,0.5774647887323944,0.13513513513513514,0.0,1505,261,0.40483955143137185,69.0
A>=10d AND B=streak>=4,IS,0.16744186046511628,0.0,0.3561368209255533,0.0,0.0,1505,261,0.16744186046511628,119.0
A>=10d OR B=streak>=4,IS,0.5441860465116279,0.08045977011494253,0.545271629778672,0.13513513513513514,0.0,1505,261,0.4637262763966854,92.0
A>=10d AND B=streak>=6,IS,0.13554817275747508,0.0,0.2676056338028169,0.0,0.0,1505,261,0.13554817275747508,133.0
A>=10d OR B=streak>=6,IS,0.4950166112956811,0.0,0.545271629778672,0.13513513513513514,0.0,1505,261,0.4950166112956811,119.0
A>=10d AND B=score<=16,IS,0.15548172757475084,0.0,0.3501006036217304,0.0,0.0,1505,261,0.15548172757475084,119.0
A>=10d OR B=score<=16,IS,0.3514950166112957,0.0,0.46680080482897385,0.13513513513513514,0.0,1505,261,0.3514950166112957,69.0
A>=10d AND B=score<=22,IS,0.20996677740863787,0.0,0.36619718309859156,0.11547911547911548,0.0,1505,261,0.20996677740863787,119.0
A>=10d OR B=score<=22,IS,0.6411960132890365,0.32567049808429116,0.6599597585513078,0.31695331695331697,0.0,1505,261,0.31552551520474537,27.0
A>=20d AND B=streak>=1,IS,0.19003322259136213,0.0,0.32595573440643866,0.10319410319410319,0.0,1505,261,0.19003322259136213,129.0
